element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Xe	27	"1.4618"	"20"	""		"0"	"6841000"	"3p6.3d10"	"1S"	"0"	"3p6.3d9.4f"	"3D*"	"1"		""	"L6463"	
Xe	27	"1.480"	""	""		"0"	"6757000"	"3p6.3d10"	"1S"	"0"	"3p6.3d9.4f"	"3P*"	"1"		""	"L7286"	
Xe	27	"1.83255"	"40"	""		"0"	"5456880"	"3p6.3d10"	"1S"	"0"	"3p6.3d9.4p"	"3D*"	"1"		""	"L9247"	
Xe	27	"1.86702"	"70"	""		"0"	"5356130"	"3p6.3d10"	"1S"	"0"	"3p6.3d9.4p"	"1P*"	"1"		""	"L9247"	
Xe	27	"1.88295"	"30"	""		"0"	"5310820"	"3p6.3d10"	"1S"	"0"	"3p6.3d9.4p"	"3P*"	"1"		""	"L9247"	
Xe	26	"1.9137"	"5"	""		"0"	"5225500"	"3d10.4s"	"2S"	"1/2"	"3d9.4s.4p"	"2P*"	"1/2"		""	"L6463"	
Xe	52	"2.51875"	"j"	""		"0"	"3970230"	"1s2.2s"	"2S"	"1/2"	"1s2.2p"	"2P*"	"3/2"		""	"u57,L18987"	
Xe	53	"2.666"	""	""		"(243008054)"	"(246760228.3)"	"1s.2s"	"3S"	"1"	"1s.2p"	"3P*"	"2"		""	"L7263"	
Xe	26	"3.4380"	"5"	""		"574917."	"3483100"	"3d10.4p"	"2P*"	"3/2"	"3d10.5d"	"2D"	"5/2"		""	"L6463"	
Xe	26	"3.561"	"1"	""		"2034900"	"4843100"	"3d10.4f"	"2F*"	"5/2"	"3d10.6g"	"2G"	"7/2"		""	"L6463"	
Xe	26	"3.5660"	"5w"	""		"2039070"	"4843300"	"3d10.4f"	"2F*"	"7/2"	"3d10.6g"	"2G"	"9/2"		""	"L6463"	
Xe	26	"3.9410"	"10bl"	""		"1268220"	"3805800"	"3d10.4d"	"2D"	"3/2"	"3d10.5f"	"2F*"	"5/2"		""	"L6463"	
Xe	29	"3.9410"	"10bl"	""		"101720"	"2639150"	"3p6.3d3<3/2>.3d5<5/2>"	"(3/2,5/2)"	"3"	"3p5.3d9"	"(1/2,5/2)*"	"3"		""	"L6463"	
Xe	29	"4.0335"	"10"	""		"101720"	"2580960"	"3p6.3d3<3/2>.3d5<5/2>"	"(3/2,5/2)"	"3"	"3p5.3d9"	"(1/2,5/2)*"	"2"		""	"L6463"	
Xe	28	"4.0490"	"30"	""		"109340"	"2579450"	"3p6.3d9"	"2D"	"3/2"	"3p5.3d10"	"2P*"	"1/2"		""	"L6463"	
Xe	26	"4.0731"	"100bl"	""		"427411."	"2884100"	"3d10.4p"	"2P*"	"1/2"	"3d10.5s"	"2S"	"1/2"		""	"L6463"	
Xe	29	"4.0731"	"100bl"	""		"183990"	"2639150"	"3p6.3d3<3/2>.3d5<5/2>"	"(3/2,5/2)"	"4"	"3p5.3d9"	"(1/2,5/2)*"	"3"		""	"L6463"	
Xe	29	"4.1540"	"5"	""		"173640"	"2580960"	"3p6.3d3<3/2>.3d5<5/2>"	"(3/2,5/2)"	"1"	"3p5.3d9"	"(1/2,5/2)*"	"2"		""	"L6463"	
Xe	29	"4.2310"	"5"	""		"241330+x"	"2604840+x"	"3p6.3d2<3/2>.3d6<5/2>"	"(2,0)"	"2"	"3p5.3d9"	"(1/2,3/2)*"	"2"		""	"L6463"	
Xe	26	"4.3315"	"15"	""		"574917."	"2884100"	"3d10.4p"	"2P*"	"3/2"	"3d10.5s"	"2S"	"1/2"		""	"L6463"	
Xe	29	"4.5730"	"15"	""		"0"	"2186370"	"3p6.3d4<3/2>.3d4<5/2>"	"(0,4)"	"4"	"3p5.3d9"	"(3/2,3/2)*"	"3"		""	"L6463"	
Xe	29	"4.6615"	"5w"	""		"46620"	"2191850"	"3p6.3d4<3/2>.3d4<5/2>"	"(0,2)"	"2"	"3p5.3d9"	"(3/2,3/2)*"	"1"		""	"L6463"	
Xe	29	"4.7970"	"10"	""		"101720"	"2186370"	"3p6.3d3<3/2>.3d5<5/2>"	"(3/2,5/2)"	"3"	"3p5.3d9"	"(3/2,3/2)*"	"3"		""	"L6463"	
Xe	29	"4.8115"	"5"	""		"46620"	"2124970"	"3p6.3d4<3/2>.3d4<5/2>"	"(0,2)"	"2"	"3p5.3d9"	"(3/2,5/2)*"	"1"		""	"L6463"	
Xe	29	"4.8525"	"50"	""		"0"	"2060790"	"3p6.3d4<3/2>.3d4<5/2>"	"(0,4)"	"4"	"3p5.3d9"	"(3/2,5/2)*"	"3"		""	"L6463"	
Xe	28	"4.8640"	"100"	""		"0"	"2056170"	"3p6.3d9"	"2D"	"5/2"	"3p5.3d10"	"2P*"	"3/2"		""	"L6463"	
Xe	29	"4.8875"	"5"	""		"145810"	"2191850"	"3p6.3d3<3/2>.3d5<5/2>"	"(3/2,5/2)"	"2"	"3p5.3d9"	"(3/2,3/2)*"	"1"		""	"L6463"	
Xe	29	"4.9125"	"20"	""		"101720"	"2137340"	"3p6.3d3<3/2>.3d5<5/2>"	"(3/2,5/2)"	"3"	"3p5.3d9"	"(3/2,3/2)*"	"2"		""	"L6463"	
Xe	29	"4.9940"	"15"	""		"183990"	"2186370"	"3p6.3d3<3/2>.3d5<5/2>"	"(3/2,5/2)"	"4"	"3p5.3d9"	"(3/2,3/2)*"	"3"		""	"L6463"	
Xe	29	"5.1085"	"50"	""		"0"	"1957520"	"3p6.3d4<3/2>.3d4<5/2>"	"(0,4)"	"4"	"3p5.3d9"	"(3/2,5/2)*"	"4"		""	"L6463"	
Xe	29	"5.1285"	"20w"	""		"46620"	"1996510"	"3p6.3d4<3/2>.3d4<5/2>"	"(0,2)"	"2"	"3p5.3d9"	"(3/2,5/2)*"	"2"		""	"L6463"	
Xe	28	"5.1355"	"10"	""		"109340"	"2056170"	"3p6.3d9"	"2D"	"3/2"	"3p5.3d10"	"2P*"	"3/2"		""	"L6463"	
Xe	29	"5.2220"	"5"	""		"145810"	"2060790"	"3p6.3d3<3/2>.3d5<5/2>"	"(3/2,5/2)"	"2"	"3p5.3d9"	"(3/2,5/2)*"	"3"		""	"L6463"	
Xe	26	"5.2615"	"10w,bl"	""		"2034900"	"3934900"	"3d10.4f"	"2F*"	"5/2"	"3d10.5g"	"2G"	"7/2"		""	"L6463"	
Xe	26	"5.2710"	"30bl"	""		"2039070"	"3935900"	"3d10.4f"	"2F*"	"7/2"	"3d10.5g"	"2G"	"9/2"		""	"L6463"	
Xe	29	"5.3885"	"5"	""		"101720"	"1957520"	"3p6.3d3<3/2>.3d5<5/2>"	"(3/2,5/2)"	"3"	"3p5.3d9"	"(3/2,5/2)*"	"4"		""	"L6463"	
Xe	26	"5.4030"	"10"	""		"1297510"	"3149700"	"3d10.4d"	"2D"	"5/2"	"3d10.5p"	"2P*"	"3/2"		""	"L6463"	
Xe	26	"5.5145"	"10"	""		"1268220"	"3083100"	"3d10.4d"	"2D"	"3/2"	"3d10.5p"	"2P*"	"1/2"		""	"L6463"	
Xe	44	"5.91"	""	""		"806985"	"2523660"	"3p"	"2P*"	"1/2"	"3d"	"2D"	"3/2"		""	"L11383"	
Xe	43	"6.288"	"*"	""		"0"	"1589960"	"3s2"	"1S"	"0"	"3s.3p"	"1P*"	"1"		""	"L10678"	
Xe	43	"6.288"	"*"	""		"699590"	"2289410"	"3s.3p"	"3P*"	"0"	"3p2"	"3P"	"1"		""	"L10678"	
Xe	44	"6.658"	""	""		"0"	"1501276"	"3s"	"2S"	"1/2"	"3p"	"2P*"	"3/2"		""	"L10465"	
Xe	45	"7.09"	""	""		"33957000"	"35367000"	"2p5.<3/2>3s<1/2>"	"(3/2,1/2)*"	"2"	"2p5.<3/2>3p<3/2>"	"(3/2,3/2)"	"3"		""	"L11383"	
Xe	51	"7.11"	""	""		"1027000"	"2433000"	"2s<1/2>.2p<1/2>"	"*"	"1"	"2p<1/2>.2p<1/2>"	""	"0"		""	"L7262"	
Xe	44	"8.48"	""	""		"1501276"	"2679380"	"3p"	"2P*"	"3/2"	"3d"	"2D"	"5/2"		""	"L11383"	
Xe	9	"8.5420"	"3"	""		"0"	"1170685"	"4d10"	"1S"	"0"	"4d9.6f"	"1P*"	"1"		""	"L11883"	
Xe	9	"8.7517"	"2"	""		"0"	"1142635"	"4d10"	"1S"	"0"	"4d9.7p"	"1P*"	"1"		""	"L11883"	
Xe	9	"8.8444"	"5?"	""		"0"	"1130660"	"4d10"	"1S"	"0"	"4d9.7p"	"3P*"	"1"		""	"L11883"	
Xe	45	"9.30"	""	""		"35367000"	"36443000"	"2p5.<3/2>3p<3/2>"	"(3/2,3/2)"	"3"	"2p5.<3/2>3d<5/2>"	"(3/2,5/2)*"	"4"		""	"L11383"	
Xe	27	"9.560"	""	""		"5310820"	"6356540"	"3p6.3d9.4p"	"3P*"	"1"	"3p6.3d9.4d"	"(3/2,3/2)"	"0"		""	"L7286"	
Xe	9	"9.6449"	"35"	""		"0"	"1036821."	"4d10"	"1S"	"0"	"4d9.5f"	"1P*"	"1"		""	"L9885"	
Xe	51	"9.74"	""	""		"0"	"1027000"	"2s2"	"1S"	"0"	"2s<1/2>.2p<1/2>"	"*"	"1"		""	"L11152"	
Xe	9	"9.9553"	"10"	""		"0"	"1004493."	"4d10"	"1S"	"0"	"4d9.5f"	"3D*"	"1"		""	"L9885"	
Xe	27	"9.999"	""	""		"5356130"	"6356540"	"3p6.3d9.4p"	"1P*"	"1"	"3p6.3d9.4d"	"(3/2,3/2)"	"0"		""	"L7286"	
Xe	25	"10.166"	"30"	""		"1117144"	"2097161"	"4p2"	"3P"	"2"	"4s.4f"	"1F*"	"3"		""	"L11896"	
Xe	9	"10.2815"	"10"	""		"0"	"972620."	"4d10"	"1S"	"0"	"4d9.6p"	"1P*"	"1"		""	"L11883"	
Xe	52	"10.3463"	"j"	""		"0"	"966530"	"1s2.2s"	"2S"	"1/2"	"1s2.2p"	"2P*"	"1/2"		""	"u57,L9783,L11935"	
Xe	9	"10.3808"	"12"	""		"0"	"963320."	"4d10"	"1S"	"0"	"4d9.6p"	"3P*"	"1"		""	"L11883"	
Xe	11	"10.5699"	"14"	""		"42900."	"989020"	"4p6.4d8"	"1D"	"2"	"4p6.4d7.4f"	"989020*"	"1"		""	"L12003"	
Xe	11	"10.6125"	"52"	""		"15205."	"957488"	"4p6.4d8"	"3F"	"3"	"4p5.4d9"	"957488*"	"3"		""	"L12003"	
Xe	7	"10.689"	"80a"	""		"0"	"935680"	"5s2"	"1S"	"0"	"4d9.5s2.5f"	"1P*"	"1"		""	"L5852"	
Xe	19	"10.8409"	"10p"	""		"0"	"922237"	"4p6"	"1S"	"0"	"4p5.4d"	"1P*"	"1"		""	"L10770"	
Xe	11	"10.9027"	"276"	""		"34610."	"951795"	"4p6.4d8"	"3P"	"1"	"4p5.4d9"	"951795*"	"2"		""	"L12003"	
Xe	11	"10.9093"	"314"	""		"40835."	"957488"	"4p6.4d8"	"1G"	"4"	"4p5.4d9"	"957488*"	"3"		""	"L12003"	
Xe	11	"10.9339"	"217"	""		"42900."	"957488"	"4p6.4d8"	"1D"	"2"	"4p5.4d9"	"957488*"	"3"		""	"L12003"	
Xe	25	"10.945"	"50"	""		"1117144"	"2031455"	"4p2"	"3P"	"2"	"4s.4f"	"3F*"	"2"		""	"L11896"	
Xe	11	"10.9878"	"286"	""		"34610."	"944705"	"4p6.4d8"	"3P"	"1"	"4p5.4d9"	"944705*"	"2"		""	"L12003"	
Xe	11	"11.0026"	"121"	""		"42900."	"951795"	"4p6.4d8"	"1D"	"2"	"4p5.4d9"	"951795*"	"2"		""	"L12003"	
Xe	10	"11.0133"	"15"	""		"16725."	"924721."	"4d9"	"2D"	"3/2"	"4p5.4d10"	"924721*"	"1/2"		""	"L11883"	
Xe	11	"11.0531"	"263*"	""		"42900."	"947660"	"4p6.4d8"	"1D"	"2"	"4p6.4d7.4f"	"947660*"	"1"		""	"L12003"	
Xe	11	"11.0531"	"263*"	""		"26670."	"931420"	"4p6.4d8"	"3P"	"2"	"4p6.4d7.4f"	"931420*"	"1"		""	"L12003"	
