element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Kr	26	"0.48967"	"*"	""		"0"	"20421900"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<1/2>).3s.5d"	"(1,3/2)*"	"3/2"		""	"L9749"	
Kr	26	"0.48967"	"*"	""		"0"	"20421900"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<1/2>).3s.5d"	"(1,3/2)*"	"1/2"		""	"L9749"	
Kr	27	"0.49123"	""	""		"0"	"20357100"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).5d"	"(3/2,5/2)*"	"1"		""	"L9749"	
Kr	27	"0.49585"	""	""		"0"	"20167400"	"2s2.2p6"	"1S"	"0"	"2s.2p6.4p"	"(1/2,3/2)*"	"1"		""	"L9749"	
Kr	29	"0.49647"	""	""		"0"	"20142200"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(4S*<3/2>).4d"	"(3/2,5/2)*"	"3"		""	"L9749"	
Kr	27	"0.49682"	""	""		"0"	"20128000"	"2s2.2p6"	"1S"	"0"	"2s.2p6.4p"	"(1/2,1/2)*"	"1"		""	"L9749"	
Kr	27	"0.49726"	""	""		"0"	"20110200"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).5s"	"(3/2,1/2)*"	"1"		""	"L9749"	
Kr	25	"0.49829"	""	""		"0"	"20068600"	"2p6.3s2"	"1S"	"0"	"2p5.3s2.5d"	"(1/2,3/2)*"	"1"		""	"L9749"	
Kr	26	"0.49996"	""	""		"0"	"20001600"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<3/2>).3s.5d"	"(1,5/2)*"	"3/2"		""	"L9749"	
Kr	29	"0.49996"	""	""		"160800"	"20162400"	"2s2.2p4"	"3P"	"0"	"2s2.2p3.(4S*<3/2>).4d"	"(3/2,5/2)*"	"1"		""	"L9749"	
Kr	26	"0.50036"	""	""		"0"	"19985600"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<3/2>).3s.5d"	"(1,3/2)*"	"1/2"		""	"L9749"	
Kr	29	"0.50263"	""	""		"1674810"	"21570200"	"2s.2p5"	"3P*"	"2"	"2s.2p4.(3P<2>).4d"	"(5/2,5/2)"	"3"		""	"L9749"	
Kr	26	"0.50278"	""	""		"0"	"19889400"	"2p6.3s"	"2S"	"1/2"	"2p6.2s.3s.(3S<1>).4p"	"(1,3/2)*"	"3/2"		""	"L9749"	
Kr	28	"0.50840"	""	""		"0"	"19669600"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<1>).4d"	"(1,3/2)"	"5/2"		""	"L9749"	
Kr	29	"0.51316"	""	""		"1674810"	"21161900"	"2s.2p5"	"3P*"	"2"	"2s.2p4.(3P<2>).4s"	"(5/2,1/2)"	"2"		""	"L9749"	
Kr	28	"0.51488"	""	""		"0"	"19422000"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<0>).4d"	"(0,5/2)"	"5/2"		""	"L9749"	
Kr	28	"0.51602"	"0.2"	""		"446440"	"19826000"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D<2>).4d"	"(2,5/2)"	"1/2"		""	"L7259"	
Kr	28	"0.51650"	""	""		"446440"	"19807500"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D<2>).4d"	"(2,5/2)"	"3/2"		""	"L9749"	
Kr	28	"0.51739"	"*"	""		"446440"	"19774200"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D<2>).4d"	"(2,3/2)"	"1/2"		""	"L9749"	
Kr	28	"0.51739"	"*"	""		"446440"	"19774200"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D<2>).4d"	"(2,3/2)"	"3/2"		""	"L9749"	
Kr	28	"0.51816"	""	""		"0"	"19299100"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<2>).4d"	"(2,5/2)"	"5/2"		""	"L9749"	
Kr	28	"0.51841"	""	""		"0"	"19289800"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<2>).4d"	"(2,5/2)"	"3/2"		""	"L9749"	
