element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Ne	2	"1864.6477"	"36"	""		"301947.9789"	"307309.4584"	"2s2.2p4.(3P).4d"	"4D"	"3/2"	"2s2.2p4.(3P).5p"	"4P*"	"1/2"		""	"L11301"	
Ne	2	"1864.711"	"302*"	""		"313480.181"	"318841.497"	"2s2.2p4.(3P<1>).5g"	"2[4]"	"7/2"	"2s2.2p4.(3P<1>).6h"	"2[5]*"	""		""	"L11301"	
Ne	2	"1864.711"	"302*"	""		"313480.213"	"318841.497"	"2s2.2p4.(3P<1>).5g"	"2[4]"	"9/2"	"2s2.2p4.(3P<1>).6h"	"2[5]*"	""		""	"L11301"	
Ne	2	"1865.0845"	"71"	""		"302816.9602"	"308177.1843"	"2s2.2p4.(3P).4d"	"4P"	"3/2"	"2s2.2p4.(3P).5p"	"2D*"	"3/2"		""	"L11301"	
Ne	1	"1865.5605"	"9"	""		"161701.4486"	"167060.3044"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"3"	"2s2.2p5.(2P*<3/2>).4f"	"2[9/2]"	"4"		""	"L11262"	
Ne	2	"1865.5933"	"102"	""		"312843.6043"	"318202.3663"	"2s2.2p4.(3P<2>).5f"	"2[1]*"	"1/2"	"2s2.2p4.(3P<2>).6g"	"2[2]"	"3/2"		""	"L11301"	
Ne	2	"1865.6538"	"32"	""		"313469.9028"	"318828.4917"	"2s2.2p4.(3P<1>).5f"	"2[3]*"	"7/2"	"2s2.2p4.(3P<1>).6g"	"2[3]"	"7/2"		""	"L11301"	
Ne	2	"1865.9152"	"42"	""		"312844.5547"	"318202.3922"	"2s2.2p4.(3P<2>).5f"	"2[1]*"	"3/2"	"2s2.2p4.(3P<2>).6g"	"2[2]"	"5/2"		""	"L11301"	
Ne	2	"1866.117"	"25*"	""		"312833.415"	"318190.691"	"2s2.2p4.(3P<2>).5g"	"2[6]"	"11/2"	"2s2.2p4.(3P<2>).6h"	"2[6]*"	""		""	"L11301"	
Ne	2	"1866.117"	"25*"	""		"312833.433"	"318190.691"	"2s2.2p4.(3P<2>).5g"	"2[6]"	"13/2"	"2s2.2p4.(3P<2>).6h"	"2[6]*"	""		""	"L11301"	
Ne	2	"1866.225"	"316*"	""		"312843.10"	"318200.066"	"2s2.2p4.(3P<2>).5g"	"2[2]"	"3/2"	"2s2.2p4.(3P<2>).6h"	"2[3]*"	""		""	"L11301"	
Ne	2	"1866.225"	"316*"	""		"312843.122"	"318200.066"	"2s2.2p4.(3P<2>).5g"	"2[2]"	"5/2"	"2s2.2p4.(3P<2>).6h"	"2[3]*"	""		""	"L11301"	
Ne	2	"1867.158"	"18*"	""		"313480.181"	"318834.4654"	"2s2.2p4.(3P<1>).5g"	"2[4]"	"7/2"	"2s2.2p4.(3P<1>).6h"	"2[4]*"	"7/2"		""	"L11301"	
Ne	2	"1867.158"	"18*"	""		"313480.213"	"318834.4865"	"2s2.2p4.(3P<1>).5g"	"2[4]"	"9/2"	"2s2.2p4.(3P<1>).6h"	"2[4]*"	"9/2"		""	"L11301"	
Ne	2	"1867.3073"	"18"	""		"307774.6858"	"313128.5294"	"2s2.2p4.(3P).5p"	"4D*"	"3/2"	"2s2.2p4.(3P).5d"	"4F"	"3/2"		""	"L11301"	
Ne	1	"1867.6080"	"87"	""		"161699.6613"	"167052.6415"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"2"	"2s2.2p5.(2P*<3/2>).4f"	"2[3/2]"	"1"		""	"L9097"	
Ne	1	"1867.945"	"14"	""		"166975.3424"	"172327.358"	"2s2.2p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).9p"	"2[1/2]"	"0"		""	"L9760"	
Ne	1	"1868.2238"	"130"	""		"161701.4486"	"167052.6654"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"3"	"2s2.2p5.(2P*<3/2>).4f"	"2[3/2]"	"2"		""	"L9097"	
Ne	2	"1869.0431"	"96"	""		"302425.8139"	"307774.6858"	"2s2.2p4.(3P).4d"	"2D"	"3/2"	"2s2.2p4.(3P).5p"	"4D*"	"3/2"		""	"L11301"	
Ne	2	"1870.2493"	"20"	""		"302831.7640"	"308177.1843"	"2s2.2p4.(3P).4d"	"2P"	"1/2"	"2s2.2p4.(3P).5p"	"2D*"	"3/2"		""	"L11301"	
Ne	2	"1870.3541"	"37"	""		"307069.8080"	"312414.9292"	"2s2.2p4.(3P).5p"	"4P*"	"3/2"	"2s2.2p4.(3P).5d"	"4D"	"1/2"		""	"L11301"	
Ne	2	"1877.69477"	"190"	""		"306899.2903"	"312223.5155"	"2s2.2p4.(3P).5p"	"4P*"	"5/2"	"2s2.2p4.(3P).5d"	"4D"	"7/2"		""	"L11301"	
Ne	2	"1879.2187"	"98"	""		"302816.9602"	"308136.8685"	"2s2.2p4.(3P).4d"	"4P"	"3/2"	"2s2.2p4.(3P).5p"	"4S*"	"3/2"		""	"L11301"	
Ne	2	"1884.4622"	"9"	""		"302831.7640"	"308136.8685"	"2s2.2p4.(3P).4d"	"2P"	"1/2"	"2s2.2p4.(3P).5p"	"4S*"	"3/2"		""	"L11301"	
Ne	2	"1886.596"	"7"	""		"302475.5806"	"307774.6858"	"2s2.2p4.(3P).4d"	"4P"	"1/2"	"2s2.2p4.(3P).5p"	"4D*"	"3/2"		""	"L11301"	
Ne	2	"1887.13137"	"229"	""		"307774.6858"	"313072.2891"	"2s2.2p4.(3P).5p"	"4D*"	"3/2"	"2s2.2p4.(3P).5d"	"4F"	"5/2"		""	"L11301"	
Ne	1	"1889.8826"	"30"	"1.28e+05"	C+	"162517.8755"	"167807.7649"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).4d"	"2[3/2]*"	"1"		"T6976"	"L9097"	
Ne	2	"1891.04167"	"174"	""		"302890.5369"	"308177.1843"	"2s2.2p4.(3P).4d"	"2F"	"5/2"	"2s2.2p4.(3P).5p"	"2D*"	"3/2"		""	"L11301"	
Ne	2	"1893.0987"	"30"	""		"308738.0108"	"314018.9129"	"2s2.2p4.(3P).5p"	"2P*"	"3/2"	"2s2.2p4.(3P).6s"	"2P"	"1/2"		""	"L11301"	
Ne	1	"1893.7552"	"150"	"3.90e+05"	C+	"162517.8755"	"167796.9475"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).4d"	"2[3/2]*"	"2"		"T6976"	"L9097"	
Ne	1	"1894.4644"	"6"	"1.43e+04"	C+	"162517.8755"	"167794.9709"	"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).4d"	"2[5/2]*"	"2"		"T6976"	"L9097"	
Ne	2	"1894.9617"	"25"	""		"307309.4584"	"312585.170"	"2s2.2p4.(3P).5p"	"4P*"	"1/2"	"2s2.2p4.(3P).5d"	"4P"	"1/2"		""	"L11301"	
Ne	2	"1899.0637"	"16"	""		"307309.4584"	"312573.7745"	"2s2.2p4.(3P).5p"	"4P*"	"1/2"	"2s2.2p4.(3P).5d"	"2D"	"3/2"		""	"L11301"	
Ne	2	"1902.1304"	"80"	""		"307069.8080"	"312325.6366"	"2s2.2p4.(3P).5p"	"4P*"	"3/2"	"2s2.2p4.(3P).5d"	"4D"	"3/2"		""	"L11301"	
Ne	2	"1903.4419"	"64"	""		"302057.2516"	"307309.4584"	"2s2.2p4.(3P).4d"	"4D"	"1/2"	"2s2.2p4.(3P).5p"	"4P*"	"1/2"		""	"L11301"	
Ne	2	"1905.2833"	"12"	""		"307774.6858"	"313021.8155"	"2s2.2p4.(3P).5p"	"4D*"	"3/2"	"2s2.2p4.(3P).5d"	"4P"	"3/2"		""	"L11301"	
Ne	2	"1905.57347"	"148"	""		"302890.5369"	"308136.8685"	"2s2.2p4.(3P).4d"	"2F"	"5/2"	"2s2.2p4.(3P).5p"	"4S*"	"3/2"		""	"L11301"	
Ne	2	"1906.5278"	"24"	""		"307894.8198"	"313138.5238"	"2s2.2p4.(3P).5p"	"4D*"	"5/2"	"2s2.2p4.(3P).5d"	"4P"	"5/2"		""	"L11301"	
Ne	1	"1911.1191"	"5"	"5.18e+04"	C+	"164285.8872"	"169516.9948"	"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"0"	"2s2.2p5.(2P*<3/2>).5d"	"2[3/2]*"	"1"		"T6976"	"L9097"	
Ne	2	"1915.24957"	"380"	""		"303518.1843"	"308738.0108"	"2s2.2p4.(3P).5s"	"4P"	"3/2"	"2s2.2p4.(3P).5p"	"2P*"	"3/2"		""	"L11301"	
Ne	2	"1916.6022"	"42"	""		"302961.0417"	"308177.1843"	"2s2.2p4.(3P).4d"	"4F"	"3/2"	"2s2.2p4.(3P).5p"	"2D*"	"3/2"		""	"L11301"	
Ne	2	"1917.3395"	"83"	""		"301855.6707"	"307069.8080"	"2s2.2p4.(3P).4d"	"4D"	"5/2"	"2s2.2p4.(3P).5p"	"4P*"	"3/2"		""	"L11301"	
Ne	2	"1919.1495"	"36"	""		"308136.8685"	"313346.0878"	"2s2.2p4.(3P).5p"	"4S*"	"3/2"	"2s2.2p4.(3P).5d"	"2F"	"5/2"		""	"L11301"	
Ne	2	"1922.5675"	"8"	""		"307240.7001"	"312440.6573"	"2s2.2p4.(3P).5p"	"4D*"	"7/2"	"2s2.2p4.(3P).5d"	"2F"	"7/2"		""	"L11301"	
Ne	2	"1925.8130"	"40"	""		"302831.7640"	"308022.9587"	"2s2.2p4.(3P).4d"	"2P"	"1/2"	"2s2.2p4.(3P).5p"	"4D*"	"1/2"		""	"L11301"	
Ne	2	"1926.2987"	"78"	""		"302816.9602"	"308006.8460"	"2s2.2p4.(3P).4d"	"4P"	"3/2"	"2s2.2p4.(3P).5p"	"2S*"	"1/2"		""	"L11301"	
Ne	2	"1926.9086"	"68"	""		"307069.8080"	"312258.0516"	"2s2.2p4.(3P).5p"	"4P*"	"3/2"	"2s2.2p4.(3P).5d"	"4D"	"5/2"		""	"L11301"	
Ne	2	"1930.9179"	"46"	""		"307894.8198"	"313072.2891"	"2s2.2p4.(3P).5p"	"4D*"	"5/2"	"2s2.2p4.(3P).5d"	"4F"	"5/2"		""	"L11301"	
Ne	2	"1931.8093"	"52"	""		"302831.7640"	"308006.8460"	"2s2.2p4.(3P).4d"	"2P"	"1/2"	"2s2.2p4.(3P).5p"	"2S*"	"1/2"		""	"L11301"	
Ne	2	"1932.4491"	"14"	""		"308006.8460"	"313180.2149"	"2s2.2p4.(3P).5p"	"2S*"	"1/2"	"2s2.2p4.(3P).6s"	"2P"	"3/2"		""	"L11301"	
Ne	2	"1932.56367"	"355"	""		"302247.7634"	"307420.8248"	"2s2.2p4.(3P).4d"	"2F"	"7/2"	"2s2.2p4.(3P).5p"	"2D*"	"5/2"		""	"L11301"	
Ne	2	"1934.1183"	"62"	""		"308177.1843"	"313346.0878"	"2s2.2p4.(3P).5p"	"2D*"	"3/2"	"2s2.2p4.(3P).5d"	"2F"	"5/2"		""	"L11301"	
Ne	2	"1934.85997"	"240"	""		"307240.7001"	"312407.6220"	"2s2.2p4.(3P).5p"	"4D*"	"7/2"	"2s2.2p4.(3P).5d"	"4F"	"9/2"		""	"L11301"	
Ne	2	"1937.9915"	"34"	""		"312504.5327"	"317663.1046"	"2s2.2p4.(3P).5d"	"2D"	"5/2"	"2s2.2p4.(1D).4p"	"2P*"	"3/2"		""	"L11301"	
Ne	2	"1938.4865"	"37"	""		"308022.9587"	"313180.2149"	"2s2.2p4.(3P).5p"	"4D*"	"1/2"	"2s2.2p4.(3P).6s"	"2P"	"3/2"		""	"L11301"	
Ne	2	"1943.46837"	"372"	""		"302750.7840"	"307894.8198"	"2s2.2p4.(3P).4d"	"4F"	"7/2"	"2s2.2p4.(3P).5p"	"4D*"	"5/2"		""	"L11301"	
Ne	2	"1950.9509"	"8"	""		"312816.6500"	"317940.958"	"2s2.2p4.(3P<2>).5f"	"2[5]*"	"11/2"	"2s2.2p4.(3P).6d"	"4F"	"9/2"		""	"L11301"	
Ne	2	"1951.8946"	"69"	""		"301947.9789"	"307069.8080"	"2s2.2p4.(3P).4d"	"4D"	"3/2"	"2s2.2p4.(3P).5p"	"4P*"	"3/2"		""	"L11301"	
Ne	2	"1955.2261"	"62"	""		"302307.7230"	"307420.8248"	"2s2.2p4.(3P).4d"	"2D"	"5/2"	"2s2.2p4.(3P).5p"	"2D*"	"5/2"		""	"L11301"	
Ne	1	"1957.3750"	"260"	"1.09e+05"	C+	"158601.1152"	"163708.6029"	"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"2"		"T6976"	"L9097"	
Ne	1	"1957.7110"	"790"	"5.86e+05"	C+	"158601.1152"	"163707.7261"	"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"1"		"T6976"	"L9097"	
Ne	2	"1958.1104"	"50"	""		"308022.9587"	"313128.5294"	"2s2.2p4.(3P).5p"	"4D*"	"1/2"	"2s2.2p4.(3P).5d"	"4F"	"3/2"		""	"L11301"	
Ne	2	"1958.1492"	"22"	""		"307309.4584"	"312414.9292"	"2s2.2p4.(3P).5p"	"4P*"	"1/2"	"2s2.2p4.(3P).5d"	"4D"	"1/2"		""	"L11301"	
Ne	2	"1958.18187"	"263"	""		"303071.8002"	"308177.1843"	"2s2.2p4.(3P).4d"	"4P"	"5/2"	"2s2.2p4.(3P).5p"	"2D*"	"3/2"		""	"L11301"	
Ne	2	"1960.42547"	"182"	""		"307894.8198"	"312994.3611"	"2s2.2p4.(3P).5p"	"4D*"	"5/2"	"2s2.2p4.(3P).5d"	"4F"	"7/2"		""	"L11301"	
Ne	2	"1960.92927"	"144"	""		"301801.0594"	"306899.2903"	"2s2.2p4.(3P).4d"	"4D"	"7/2"	"2s2.2p4.(3P).5p"	"4P*"	"5/2"		""	"L11301"	
