element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Ar	2	"3453.8393"	"7"	""		"199525.2465"	"202420.5754"	"3s2.3p4.(1D).4d"	"2P"	"3/2"	"3s2.3p4.(3P).6p"	"4P*"	"1/2"		""	"L11520"	
Ar	2	"3458.989"	"11"	""		"208695.1309"	"211586.1480"	"3s2.3p4.(3P).6d"	"4P"	"3/2"	"3s2.3p4.(3P<1>).6f"	"2[2]*"	"5/2"		""	"L11520"	
Ar	2	"3468.7093"	"49"	""		"206132.7924"	"209015.7090"	"3s2.3p4.(3P<1>).5f"	"2[4]*"	"9/2"	"3s2.3p4.(3P).6d"	"2F"	"7/2"		""	"L11520"	
Ar	2	"3484.8035"	"19"	""		"186171.3330"	"189040.9351"	"3s2.3p4.(3P).4d"	"4P"	"1/2"	"3s2.3p4.(3P).5p"	"4P*"	"3/2"		""	"L11520"	
Ar	2	"3490.9364"	"9"	""		"199679.8440"	"202544.4050"	"3s2.3p4.(1D).4d"	"2D"	"5/2"	"3s2.3p4.(3P).6p"	"4D*"	"5/2"		""	"L11520"	
Ar	2	"3501.273"	"5"	""		"200151.7014"	"203007.8061"	"3s2.3p4.(3P).5d"	"4D"	"3/2"	"3s2.3p4.(1D).5p"	"2P*"	"3/2"		""	"L11520"	
Ar	2	"3520.8403"	"17"	""		"202155.9425"	"204996.1739"	"3s2.3p4.(3P).5d"	"2F"	"5/2"	"3s2.3p4.(3P<2>).5f"	"2[3]*"	"7/2"		""	"L11520"	
Ar	2	"3522.6161"	"74"	""		"186816.0496"	"189654.8487"	"3s2.3p4.(3P).4d"	"2F"	"7/2"	"3s2.3p4.(3P).5p"	"4D*"	"5/2"		""	"L11520"	
Ar	2	"3525.689"	"4"	""		"205100.5847"	"207936.9137"	"3s2.3p4.(3P<2>).5f"	"2[5]*"	"11/2"	"3s2.3p4.(3P).6d"	"4F"	"9/2"		""	"L9974"	
Ar	2	"3531.753"	"7"	""		"205180.4124"	"208011.8628"	"3s2.3p4.(3P<2>).5f"	"2[1]*"	"1/2"	"3s2.3p4.(3P).6d"	"4D"	"3/2"		""	"L11520"	
Ar	2	"3562.488"	"6"	""		"199446.6269"	"202253.6552"	"3s2.3p4.(1D).4d"	"2P"	"1/2"	"3s2.3p4.(3P).6p"	"4P*"	"3/2"		""	"L11520"	
Ar	2	"3577.3686"	"28"	""		"204951.1273"	"207746.4757"	"3s2.3p4.(3P<2>).5f"	"2[4]*"	"7/2"	"3s2.3p4.(3P).6d"	"4D"	"5/2"		""	"L11520"	
Ar	2	"3587.6660"	"25"	""		"199679.8440"	"202467.1718"	"3s2.3p4.(1D).4d"	"2D"	"5/2"	"3s2.3p4.(3P).6p"	"4D*"	"3/2"		""	"L11520"	
Ar	2	"3610.019"	"4"	""		"206245.6390"	"209015.7090"	"3s2.3p4.(3P<1>).5f"	"2[3]*"	"7/2"	"3s2.3p4.(3P).6d"	"2F"	"7/2"		""	"L11520"	
Ar	2	"3611.6317"	"10"	""		"204977.6464"	"207746.4757"	"3s2.3p4.(3P<2>).5f"	"2[3]*"	"5/2"	"3s2.3p4.(3P).6d"	"4D"	"5/2"		""	"L11520"	
Ar	2	"3627.5924"	"45?"	""		"204937.8473"	"207694.4965"	"3s2.3p4.(3P<2>).5f"	"2[4]*"	"9/2"	"3s2.3p4.(3P).6d"	"4D"	"7/2"		""	"L11520"	
Ar	2	"3632.0074"	"23"	""		"206623.9138"	"209377.2099"	"3s2.3p4.(3P<0>).5f"	"2[3]*"	"7/2"	"3s2.3p4.(3P).6d"	"2F"	"5/2"		""	"L11520"	
Ar	2	"3632.9022"	"19"	""		"207694.4965"	"210447.1140"	"3s2.3p4.(3P).6d"	"4D"	"7/2"	"3s2.3p4.(3P<2>).6f"	"2[4]*"	"7/2"		""	"L11520"	
Ar	2	"3645.1544"	"13"	""		"204951.1273"	"207694.4965"	"3s2.3p4.(3P<2>).5f"	"2[4]*"	"7/2"	"3s2.3p4.(3P).6d"	"4D"	"7/2"		""	"L11520"	
Ar	2	"3665.1402"	"38"	""		"199525.2465"	"202253.6552"	"3s2.3p4.(1D).4d"	"2P"	"3/2"	"3s2.3p4.(3P).6p"	"4P*"	"3/2"		""	"L11520"	
Ar	2	"3674.7597"	"11"	""		"200623.7672"	"203345.0332"	"3s2.3p4.(3P).6s"	"2P"	"1/2"	"3s2.3p4.(3P).6p"	"2D*"	"3/2"		""	"L11520"	
